id,title,tagline,release_date,genres,belongs_to_collection,original_language,budget_musd,revenue_musd,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path
9273,Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.,1995-11-10,Crime|Comedy|Adventure,Ace Ventura Collection,en,30.0,212.385533,O Entertainment|Warner Bros.|Morgan Creek Productions,United States of America,1128.0,6.1,8.205447999999999,90.0,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",English,<img src='http://image.tmdb.org/t/p/w185//wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg' style='height:100px;'>
11517,Money Train,"Get on, or GET OUT THE WAY!",1995-11-21,Action|Comedy|Crime,,en,60.0,35.431113,Columbia Pictures,United States of America,224.0,5.4,7.337905999999999,103.0,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",English,<img src='http://image.tmdb.org/t/p/w185//jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg' style='height:100px;'>
8012,Get Shorty,"The mob is tough, but it’s nothing like show business.",1995-10-20,Comedy|Thriller|Crime,Chili Palmer Collection,en,30.25,115.101622,Jersey Films|Metro-Goldwyn-Mayer (MGM),United States of America,305.0,6.4,12.669608,105.0,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",English,<img src='http://image.tmdb.org/t/p/w185//vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg' style='height:100px;'>
1710,Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",1995-10-27,Drama|Thriller,,en,,,Regency Enterprises|New Regency Pictures,United States of America,199.0,6.5,10.701801,124.0,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,English|Deutsch,<img src='http://image.tmdb.org/t/p/w185//80czeJGSoik22fhtUM9WzyjUU4r.jpg' style='height:100px;'>
9691,Assassins,"In the shadows of life, In the business of death, One man found a reason to live...",1995-10-06,Action|Adventure|Crime|Thriller,,en,50.0,30.303072,Silver Pictures|Canal+|Warner Bros.|Dino De Laurentiis Company|Donner/Shuler-Donner Productions|Evansgideon/Lazar,France|United States of America,394.0,6.0,11.065939,132.0,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",English|Español|Nederlands,<img src='http://image.tmdb.org/t/p/w185//xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg' style='height:100px;'>
12665,Powder,An extraordinary encounter with another human being.,1995-10-27,Drama|Fantasy|Science Fiction|Thriller,,en,,,Caravan Pictures|Hollywood Pictures,United States of America,143.0,6.3,12.133094,111.0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",English,<img src='http://image.tmdb.org/t/p/w185//1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg' style='height:100px;'>
451,Leaving Las Vegas,I Love You... The Way You Are.,1995-10-27,Drama|Romance,,en,3.6,49.8,United Artists|Intial Productions,United States of America,365.0,7.1,10.332025,112.0,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",English,<img src='http://image.tmdb.org/t/p/w185//37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg' style='height:100px;'>
16420,Othello,"Envy, greed, jealousy and love.",1995-12-15,Drama,,en,,,Columbia Pictures|Castle Rock Entertainment,Italy,33.0,7.0,1.8458990000000002,123.0,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,English,<img src='http://image.tmdb.org/t/p/w185//qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg' style='height:100px;'>
9263,Now and Then,In every woman there is the girl she left behind.,1995-10-20,Comedy|Drama|Family,,en,12.0,27.4,New Line Cinema,United States of America,91.0,6.6,8.681325,100.0,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",English,<img src='http://image.tmdb.org/t/p/w185//wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg' style='height:100px;'>
17015,Persuasion,,1995-09-27,Drama|Romance,,en,,,BBC Films,United Kingdom|France,36.0,7.4,2.228434,104.0,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",English,<img src='http://image.tmdb.org/t/p/w185//si8911IezMvAnQFDvyg1nKzDlD.jpg' style='height:100px;'>
902,The City of Lost Children,Where happily ever after is just a dream.,1995-05-16,Fantasy|Science Fiction|Adventure,,fr,18.0,1.738611,Procirep|Constellation Productions|France 3 Cinéma|Claudie Ossard Productions|Eurimages|MEDIA Programme of the European Union|Cofimage 5|Televisión Española (TVE)|Tele München Fernseh Produktionsgesellschaft (TMG)|Club d'Investissement Média|Canal+ España|Elías Querejeta Producciones Cinematográficas S.L.|Centre National de la Cinématographie (CNC)|Victoires Productions|Constellation|Lumière Pictures|Canal+|Studio Image|Cofimage 4|Ossane|Phoenix Images,France|Germany|Spain,308.0,7.6,9.822422999999999,108.0,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",广州话 / 廣州話|Français,<img src='http://image.tmdb.org/t/p/w185//eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg' style='height:100px;'>
37557,Shanghai Triad,In 1930's Shanghai violence was not the problem. It was the solution.,1995-04-30,Drama|Crime,,zh,,,Ministère des Affaires Étrangères|Alpha Films|La Sept Cinéma,China|France,17.0,6.5,1.1009149999999999,108.0,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,普通话,<img src='http://image.tmdb.org/t/p/w185//qcoOCoN7viOhboGwhYXyApdDuiq.jpg' style='height:100px;'>
9909,Dangerous Minds,She broke the rules... and changed their lives.,1995-08-11,Drama|Crime,,en,,180.0,Hollywood Pictures|Via Rosa Productions|Don Simpson/Jerry Bruckheimer Films,United States of America,249.0,6.4,9.481338000000001,99.0,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",English,<img src='http://image.tmdb.org/t/p/w185//y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg' style='height:100px;'>
63,Twelve Monkeys,The future is history.,1995-12-29,Science Fiction|Thriller|Mystery,,en,29.5,168.84,Universal Pictures|Atlas Entertainment|Classico,United States of America,2470.0,7.4,12.297305,129.0,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",English|Français,<img src='http://image.tmdb.org/t/p/w185//6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg' style='height:100px;'>
78802,Wings of Courage,,1996-09-18,Romance|Adventure,,fr,,,Iwerks Entertainment,France|United States of America,4.0,6.8,0.745542,50.0,,English,<img src='http://image.tmdb.org/t/p/w185//k6ODtR38dKEfuzSGjggr8KDyAF4.jpg' style='height:100px;'>
9598,Babe,A little pig goes a long way.,1995-07-18,Fantasy|Drama|Comedy|Family,Babe Collection,en,30.0,254.13491,Universal Pictures|Kennedy Miller Productions,Australia|United States of America,756.0,6.0,14.404764000000002,89.0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",English,<img src='http://image.tmdb.org/t/p/w185//gN6X3fwPya8pLffk9OEWV3DqBnE.jpg' style='height:100px;'>
47018,Carrington,A Love so Unusual it has to be True,1995-11-08,History|Drama|Romance,,en,,,StudioCanal|Cinéa|Euston Films|Freeway Films|European Co-production Fund|Polygram Filmed Entertainment|Orsans Productions,France|United Kingdom,16.0,6.4,1.4933610000000002,121.0,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",English,<img src='http://image.tmdb.org/t/p/w185//a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg' style='height:100px;'>
687,Dead Man Walking,,1995-12-29,Drama,,en,11.0,39.363635,Havoc|PolyGram Filmed Entertainment|Working Title Films,United States of America|United Kingdom,350.0,7.3,6.891317,122.0,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,English,<img src='http://image.tmdb.org/t/p/w185//y19uRkAHXOHLeySuBVMqnvVnsrA.jpg' style='height:100px;'>
139405,Across the Sea of Time,,1995-10-20,Adventure|History|Drama|Family,,en,,,Sony New Technologies,United States of America,2.0,3.5,0.114469,51.0,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",Pусский|English,<img src='http://image.tmdb.org/t/p/w185//lKOAyy098yjoot8cutYsStVO1WS.jpg' style='height:100px;'>
33689,It Takes Two,Two identical strangers. Two different worlds. One perfect match.,1995-11-17,Comedy|Family|Romance,,en,,,Dualstar Productions|Warner Bros.|Rysher Entertainment|Orr & Cruickshank,United States of America,149.0,6.1,7.777735000000001,101.0,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",English,<img src='http://image.tmdb.org/t/p/w185//l67WJL3Mjce1yoEgL4HheR5v75D.jpg' style='height:100px;'>
9603,Clueless,Sex. Clothes. Popularity. Is there a problem here?,1995-07-19,Comedy|Drama|Romance,,en,12.0,,Paramount Pictures,United States of America,828.0,6.9,9.882383,97.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",Español|English,<img src='http://image.tmdb.org/t/p/w185//i8gEHh2sszB6YWLC0jl559sxAeN.jpg' style='height:100px;'>
34615,"Cry, the Beloved Country",,1995-12-15,Drama,,en,,0.676525,Miramax|Distant Horizon|Alpine Pty Limited,South Africa,13.0,6.7,0.894647,106.0,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,English,<img src='http://image.tmdb.org/t/p/w185//ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg' style='height:100px;'>
31174,Richard III,"I can smile, and murder while I smile",1995-12-29,Drama|War,,en,,,British Screen|Mayfair Entertainment International,United Kingdom|United States of America,50.0,6.9,4.561387,104.0,Shakespeare's Play transplanted into a 1930s setting.,English,<img src='http://image.tmdb.org/t/p/w185//e8nuS9GQoSFaqld4hW5erk2ccag.jpg' style='height:100px;'>
11443,Dead Presidents,"In this daring heist, the only color that counts is green",1995-10-06,Action|Crime|Drama|History,,en,10.0,,Caravan Pictures|Underworld Entertainment|Hollywood Pictures,United States of America,80.0,6.6,9.87957,119.0,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",English,<img src='http://image.tmdb.org/t/p/w185//2dLyvXVvJXUR9otoqERkYpao1bB.jpg' style='height:100px;'>
35196,Restoration,,1995-12-29,Drama|Romance,,en,19.0,,Miramax Films,United States of America,30.0,6.3,10.979269,117.0,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",English|Español,<img src='http://image.tmdb.org/t/p/w185//aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg' style='height:100px;'>
9312,Mortal Kombat,Nothing In This World Has Prepared You For This.,1995-08-18,Action|Fantasy,Mortal Kombat Collection,en,18.0,122.19592,New Line Cinema|Threshold Entertainment,United States of America,452.0,5.4,10.870138,101.0,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",English,<img src='http://image.tmdb.org/t/p/w185//bdXWixjWVA7Y03PvW74xufrROiJ.jpg' style='height:100px;'>
577,To Die For,All she wanted was a little attention.,1995-05-20,Fantasy|Drama|Comedy|Thriller,,en,20.0,21.284514,The Rank Organisation|Columbia Pictures Corporation,United States of America,177.0,6.7,10.448481,106.0,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",English,<img src='http://image.tmdb.org/t/p/w185//zCREx8trzejNieDLUsRuwLU0cS3.jpg' style='height:100px;'>
11861,How To Make An American Quilt,There's beauty in the patterns of life.,1995-10-06,Drama|Romance,,en,10.0,23.57413,Universal Pictures|Amblin Entertainment,United States of America,38.0,6.5,4.485958,116.0,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",English,<img src='http://image.tmdb.org/t/p/w185//wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg' style='height:100px;'>
807,Se7en,Seven deadly sins. Seven ways to die.,1995-09-22,Crime|Mystery|Thriller,,en,33.0,327.311859,New Line Cinema|Juno Pix|Cecchi Gori Pictures,United States of America,5915.0,8.1,18.45743,127.0,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",English,<img src='http://image.tmdb.org/t/p/w185//8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg' style='height:100px;'>
10530,Pocahontas,An American legend comes to life.,1995-06-14,Adventure|Animation|Drama|Family,Pocahontas Collection,en,55.0,346.079773,Walt Disney Pictures|Walt Disney Feature Animation,United States of America,1509.0,6.7,13.280069000000001,81.0,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",English,<img src='http://image.tmdb.org/t/p/w185//qk95miOV8wDABbO5gyCpCrvbVFu.jpg' style='height:100px;'>
8391,When Night Is Falling,,1995-05-05,Drama|Romance,,en,,,Alliance Communications Corporation,Canada,10.0,5.9,3.302524,96.0,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",English,<img src='http://image.tmdb.org/t/p/w185//wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg' style='height:100px;'>
