id,title,tagline,release_date,genres,belongs_to_collection,original_language,budget_musd,revenue_musd,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path,cast,cast_size,crew_size,director
9087,The American President,Why can't the most powerful man in the world have the one thing he wants most?,1995-11-17,Comedy|Drama|Romance,,en,62.0,107.879496,Columbia Pictures|Castle Rock Entertainment,United States of America,199.0,6.5,6.318445,106.0,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",English,<img src='http://image.tmdb.org/t/p/w185//yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg' style='height:100px;'>,Michael Douglas|Annette Bening|Michael J. Fox|Martin Sheen|Anna Deavere Smith|Shawna Waldron|Samantha Mathis|David Paymer|Richard Dreyfuss|Nina Siemaszko|Wendie Malick|Beau Billingslea|Gail Strickland|Joshua Malina|Clement von Franckenstein|John Mahoney|John Mahon|Gabriel Jarret,18,6,Rob Reiner
12110,Dracula: Dead and Loving It,,1995-12-22,Comedy|Horror,,en,,,Columbia Pictures|Castle Rock Entertainment|Enigma Pictures,France|United States of America,210.0,5.7,5.430331,88.0,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",English|Deutsch,<img src='http://image.tmdb.org/t/p/w185//4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg' style='height:100px;'>,Leslie Nielsen|Mel Brooks|Amy Yasbeck|Peter MacNicol|Lysette Anthony|Harvey Korman|Steven Weber|Mark Blankfield|Megan Cavanagh|Gregg Binkley|Anne Bancroft,11,9,Mel Brooks
21032,Balto,Part Dog. Part Wolf. All Hero.,1995-12-22,Family|Animation|Adventure,Balto Collection,en,,11.348324,Universal Pictures|Amblin Entertainment|Amblimation,United States of America,423.0,7.1,12.140733,78.0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",English,<img src='http://image.tmdb.org/t/p/w185//tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg' style='height:100px;'>,Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins|Juliette Brewer|Jack Angel|Danny Mann|Robbie Rist|Sandra Dickinson|Frank Welker|Miriam Margolyes|Lola Bates-Campbell,13,14,Simon Wells
10858,Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",1995-12-22,History|Drama,,en,44.0,13.681765,Hollywood Pictures|Cinergi Pictures Entertainment,United States of America,72.0,7.1,5.092,192.0,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",English,<img src='http://image.tmdb.org/t/p/w185//yzMSdrThWAyDehVGjiAkKS2IGSa.jpg' style='height:100px;'>,Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins|E.G. Marshall|David Paymer|David Hyde Pierce|Paul Sorvino|Mary Steenburgen|J.T. Walsh|James Woods|Brian Bedford|Kevin Dunn|Fyvush Finkel|Annabeth Gish|Larry Hagman|Madeline Kahn|Dan Hedaya|Bridgette Wilson|Tom Bower|Tony Goldwyn|Edward Herrmann|Tony Lo Bianco|Saul Rubinek|Robert Beltran|John Cunningham|John Diehl|John C. McGinley|Michael Chiklis|Ric Young|Boris Sichkin|Sam Waterston|Marley Shelton,34,8,Oliver Stone
1408,Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,1995-12-22,Action|Adventure,,en,98.0,10.017322,Le Studio Canal+|Laurence Mark Productions|Metro-Goldwyn-Mayer (MGM)|Carolco Pictures,France|Germany|Italy|United States of America,137.0,5.7,7.284477000000001,119.0,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",English|Latin,<img src='http://image.tmdb.org/t/p/w185//hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg' style='height:100px;'>,Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide|Stan Shaw|Rex Linn|Paul Dillon|Christopher Masterson|Jimmie F. Skaggs|Harris Yulin|Carl Chase|Peter Geeves|Angus Wright|Ken Bones|Mary Peach|Thomas Lockyer|Roger Booth|George Murcell|Simon Atherton|Dickey Beer|Christopher Halliday|Chris Johnston|Richard Leaf|Tam White|Rupert Vansittart|Nick Bartlett|David Bailie|Kwame Kwei-Armah|Ramon Tikaram|Christopher Adamson,31,16,Renny Harlin
524,Casino,No one stays at the top forever.,1995-11-22,Drama|Crime,,en,52.0,116.112375,Universal Pictures|Légende Entreprises|Syalis DA|De Fina-Cappa,France|United States of America,1343.0,7.8,10.137389,178.0,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,English,<img src='http://image.tmdb.org/t/p/w185//13jmXenVmAQGHlsiVOdrQaVnOzd.jpg' style='height:100px;'>,Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles|Alan King|Kevin Pollak|Pasquale Cajano|L.Q. Jones|Dick Smothers|Frank Vincent|Oscar Goodman|Richard Riehle|Catherine Scorsese|Vinny Vella|Nobu Matsuhisa|Erika von Tagen|Nick Mazzola|David Rose|John Bloom|Joseph Rigano|Philip Suriano|Melissa Prophet|Bill Allison|Joe La Due|Joseph P. Reidy|Craig Vincent|Carl Ciarfalio|Gene Ruffini|Dominick Grieco|Clem Caserta|Daniel P. Conte|Joey DePinto|Jack Orend|Paul Herman|Jed Mills|Claudia Haro|Ffolliott Le Coque|John Manca|Ronald Maccone|Joseph Bono|Frank Adonis|Anthony Russell|Stuart Nisbet|Alfred Nittoli,45,10,Martin Scorsese
4584,Sense and Sensibility,Lose your heart and come to your senses.,1995-12-13,Drama|Romance,,en,16.5,135.0,Columbia Pictures Corporation|Mirage Enterprises,United Kingdom|United States of America,364.0,7.2,10.673167,136.0,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",English,<img src='http://image.tmdb.org/t/p/w185//1ryNXjmwdCTqLXxXCG9BGvZyMOH.jpg' style='height:100px;'>,Kate Winslet|Emma Thompson|Hugh Grant|Tom Wilkinson|Alan Rickman|Imogen Stubbs|Greg Wise|Hugh Laurie|Imelda Staunton|Robert Hardy|Oliver Ford Davies|James Fleet|Harriet Walter|Gemma Jones|Emilie François|Elizabeth Spriggs|Richard Lumsden,17,8,Ang Lee
5,Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",1995-12-09,Crime|Comedy,,en,4.0,4.3,Miramax Films|A Band Apart,United States of America,539.0,6.5,9.026586,98.0,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,English,<img src='http://image.tmdb.org/t/p/w185//xhU6hPDnk4s8iWWKoq4oEmNI600.jpg' style='height:100px;'>,Tim Roth|Antonio Banderas|Jennifer Beals|Madonna|Marisa Tomei|Bruce Willis|Quentin Tarantino|Sammi Davis|Amanda de Cadenet|Valeria Golino|Lili Taylor|Lawrence Bender|Ione Skye|Alicia Witt|David Proval|Lana McKissack|Tamlyn Tomita|Kathy Griffin|Paul Calderon|Salma Hayek|Patricia Vonne|Danny Verduzco|Kimberly Blair|Marc Lawrence,24,88,Allison Anders
9273,Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.,1995-11-10,Crime|Comedy|Adventure,Ace Ventura Collection,en,30.0,212.385533,O Entertainment|Warner Bros.|Morgan Creek Productions,United States of America,1128.0,6.1,8.205447999999999,90.0,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",English,<img src='http://image.tmdb.org/t/p/w185//wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg' style='height:100px;'>,Jim Carrey|Ian McNeice|Simon Callow|Maynard Eziashi|Bob Gunton|Sophie Okonedo|Tommy Davidson|Adewale Akinnuoye-Agbaje|Danny D. Daniels|Sam Motoana Phillips|Damon Standifer|Andrew Steel|Bruce Spence|Tom Grunke|Arsenio 'Sonny' Trinidad,15,11,Steve Oedekerk
11517,Money Train,"Get on, or GET OUT THE WAY!",1995-11-21,Action|Comedy|Crime,,en,60.0,35.431113,Columbia Pictures,United States of America,224.0,5.4,7.3379059999999985,103.0,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",English,<img src='http://image.tmdb.org/t/p/w185//jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg' style='height:100px;'>,Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi|Scott Sowers|Skipp Sudduth|Aida Turturro|Vincent Pastore|Enrico Colantoni|Bill Nunn|Katie Gill|Jeremy Roberts|Joe Bacino,15,44,Joseph Ruben
8012,Get Shorty,"The mob is tough, but it’s nothing like show business.",1995-10-20,Comedy|Thriller|Crime,Chili Palmer Collection,en,30.25,115.101622,Jersey Films|Metro-Goldwyn-Mayer (MGM),United States of America,305.0,6.4,12.669608,105.0,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",English,<img src='http://image.tmdb.org/t/p/w185//enHkxpSADdCAzLytXUYKMDrOi3.jpg' style='height:100px;'>,John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini|Jon Gries|Renee Props|David Paymer|Martin Ferrero|Miguel Sandoval|Jacob Vargas|Bobby Slayton|Linda Hart|Jeffrey J. Stephen,16,26,Barry Sonnenfeld
1710,Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",1995-10-27,Drama|Thriller,,en,,,Regency Enterprises|New Regency Pictures,United States of America,199.0,6.5,10.701801,124.0,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,English|Deutsch,<img src='http://image.tmdb.org/t/p/w185//fdYwBoa25Oss1bCRdmng0VhABLQ.jpg' style='height:100px;'>,Sigourney Weaver|Holly Hunter|Will Patton|William McNamara|Harry Connick Jr.|J.E. Freeman|Dermot Mulroney|John Rothman|Shannon O'Hurley|Bob Greene|Tony Haney|Danny Kovacs|Tahmus Rounds|Scott Devenney|David Michael Silverman,15,21,Jon Amiel
9691,Assassins,"In the shadows of life, In the business of death, One man found a reason to live...",1995-10-06,Action|Adventure|Crime|Thriller,,en,50.0,30.303072,Silver Pictures|Canal+|Warner Bros.|Dino De Laurentiis Company|Donner/Shuler-Donner Productions|Evansgideon/Lazar,France|United States of America,394.0,6.0,11.065939,132.0,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",English|Español|Nederlands,<img src='http://image.tmdb.org/t/p/w185//9LaHmzJL9wVAYRFjD7SgeDLuEkA.jpg' style='height:100px;'>,Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson|Steve Kahan|Kelly Rowan|Reed Diamond|Kai Wulff|Kerry Skalsky|James Douglas Haskins|Stephen Liska|John Harms|Edward J. Rosen|Christina Orchid|Choco Orta|Germán Legarreta,17,71,Richard Donner
12665,Powder,An extraordinary encounter with another human being.,1995-10-27,Drama|Fantasy|Science Fiction|Thriller,,en,,,Caravan Pictures|Hollywood Pictures,United States of America,143.0,6.3,12.133094,111.0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",English,<img src='http://image.tmdb.org/t/p/w185//kImKATjY4EsK5MDgrmpJdGbQEbq.jpg' style='height:100px;'>,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith,5,9,Victor Salva
451,Leaving Las Vegas,I Love You... The Way You Are.,1995-10-27,Drama|Romance,,en,3.6,49.8,United Artists|Intial Productions,United States of America,365.0,7.1,10.332025,112.0,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",English,<img src='http://image.tmdb.org/t/p/w185//rl5ROyXACDkiSbO6PnKK6Onnw26.jpg' style='height:100px;'>,Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber|Kim Adams|Emily Procter|Stuart Reynolds |Valeria Golino|Graham Beckel|Mariska Hargitay|Laurie Metcalf|Shawnee Smith|David Kriegel,14,12,Mike Figgis
16420,Othello,"Envy, greed, jealousy and love.",1995-12-15,Drama,,en,,,Columbia Pictures|Castle Rock Entertainment,Italy,33.0,7.0,1.8458990000000002,123.0,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,English,<img src='http://image.tmdb.org/t/p/w185//6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg' style='height:100px;'>,Laurence Fishburne|Irène Jacob|Kenneth Branagh|Nathaniel Parker|Indra Ové|Michael Maloney|Anna Patrick|Nicholas Farrell|Michael Sheen,9,3,Oliver Parker
9263,Now and Then,In every woman there is the girl she left behind.,1995-10-20,Comedy|Drama|Family,,en,12.0,27.4,New Line Cinema,United States of America,91.0,6.6,8.681325,100.0,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",English,<img src='http://image.tmdb.org/t/p/w185//yQ8xP1WOfatqgUp4e3X8n73itJc.jpg' style='height:100px;'>,Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore|Ashleigh Aston Moore|Rita Wilson|Walter Sparrow|Devon Sawa|Cloris Leachman|Janeane Garofalo|Hank Azaria|Bonnie Hunt|Lolita Davidovich|Brendan Fraser,16,8,Lesli Linka Glatter
17015,Persuasion,,1995-09-27,Drama|Romance,,en,,,BBC Films,United Kingdom|France,36.0,7.4,2.228434,104.0,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",English,<img src='http://image.tmdb.org/t/p/w185//tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg' style='height:100px;'>,Amanda Root|Ciarán Hinds|Susan Fleetwood|Fiona Shaw|John Woodvine|Phoebe Nicholls|Samuel West|Sophie Thompson|Judy Cornwell|Simon Russell Beale|Felicity Dean|Roger Hammond|Victoria Hamilton|Corin Redgrave|Emma Roberts|Robert Glenister|Richard McCabe|Helen Schlesinger|Jane Wood|David Collings|Darlene Johnson|Cinnamon Faye|Isaac Maxwell-Hunt|Roger Llewellyn|Sally George|Lonnie James,26,22,Roger Michell
902,The City of Lost Children,Where happily ever after is just a dream.,1995-05-16,Fantasy|Science Fiction|Adventure,,fr,18.0,1.738611,Procirep|Constellation Productions|France 3 Cinéma|Claudie Ossard Productions|Eurimages|MEDIA Programme of the European Union|Cofimage 5|Televisión Española (TVE)|Tele München Fernseh Produktionsgesellschaft (TMG)|Club d'Investissement Média|Canal+ España|Elías Querejeta Producciones Cinematográficas S.L.|Centre National de la Cinématographie (CNC)|Victoires Productions|Constellation|Lumière Pictures|Canal+|Studio Image|Cofimage 4|Ossane|Phoenix Images,France|Germany|Spain,308.0,7.6,9.822422999999999,108.0,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",广州话 / 廣州話|Français,<img src='http://image.tmdb.org/t/p/w185//zIIW1kl1eq6bFJerAU5PqzN3dDp.jpg' style='height:100px;'>,Ron Perlman|Dominique Pinon|Judith Vittet|Daniel Emilfork|Jean-Claude Dreyfus|Geneviève Brunet|Odile Mallet|Mireille Mossé|Serge Merlin|Rufus|Ticky Holgado|Cris Huerta|Jean-Louis Trintignant|Joseph Lucien|Mapi Galán|Briac Barthélémy|Pierre-Quentin Faesch|Alexis Pivot|François Hadji-Lazaro|Dominique Bettenfeld|Lotfi Yahya Jedidi|Thierry Gibault|Marc Caro|Ham-Chau Luong|Frankie Pain|Enrique Villanueva|Dominique Chevalier|Lorella Cravotta|Éric Houzelot|Philippe Beautier|Marc Amyot|Jean-Philippe Labadie|Raphaèle Bouchard|Elisabeth Etienne|Rachel Boulenger|Michel Motu|Nane Germon,37,21,Jean-Pierre Jeunet
